"","SP500","Nasdaq","Comcast","Charter","ATT","Verizon","Century","Google","Microsoft","Apple","Facebook","AOL","Yahoo"
"2013-05-21",1669.160034,1588.98999,21.115,114,36.939999,52.07,37.23,453.938934,34.849998,62.808571,25.66,37.27,27.04
"2013-05-22",1655.349976,1566.880005,20.889999,112.940002,36.619999,51.470001,37.02,445.155151,34.610001,63.049999,25.16,36.23,26.74
"2013-05-23",1650.51001,1563.099976,20.91,113.540001,36.740002,51.889999,37.43,441.836823,34.150002,63.162857,25.059999,36.54,26.4
"2013-05-24",1649.599976,1560.839966,20.975,112.849998,36.75,51.389999,37.27,437.097107,34.27,63.592857,24.309999,36.17,25.89
"2013-05-28",1660.060059,1571.609985,20.91,114.099998,36.18,50.82,37.07,441.07608,35.02,63.062859,24.1,35.23,26.37
"2013-05-29",1648.359985,1569.790039,20.395,112.650002,35.91,49.57,36.169998,434.5896,34.880001,63.564285,23.32,34.15,26.28
"2013-05-30",1654.410034,1590.400024,20.475,111.809998,35.5,49.080002,35.23,435.815826,35.029999,64.511429,24.549999,33.93,26.54
"2013-05-31",1630.73999,1575.160034,20.084999,112,34.990002,48.48,34.150002,436.046051,34.900002,64.247147,24.35,34.66,26.66
"2013-06-03",1640.420044,1576.359985,20.23,111.620003,35.07,48.66,34.470001,434.249237,35.59,64.388573,23.85,34.87,26.24
"2013-06-04",1631.380005,1573.27002,20.459999,114.949997,35.669998,48.84,34.759998,429.97998,34.990002,64.187141,23.52,34.63,25.35
"2013-06-05",1608.900024,1556.709961,20.094999,113.919998,35.259998,48.299999,34.93,430.280273,34.779999,63.587143,22.9,34.09,25.19
"2013-06-06",1622.560059,1564.449951,20.120001,112.629997,35.810001,49.970001,35.5,432.752747,34.959999,62.637142,22.969999,35.13,24.07
"2013-06-07",1643.380005,1583.27002,20.59,113.910004,35.450001,50.240002,35.43,440.305298,35.669998,63.115715,23.290001,35.58,24.95
"2013-06-10",1642.810059,1581.859985,20.334999,112.529999,35.990002,50.529999,35.619999,445.555542,35.470001,62.69857,24.33,35.61,25.29
"2013-06-11",1626.130005,1564.02002,20.08,112.459999,35.759998,50.18,35.490002,440.345337,34.84,62.514286,24.030001,35.16,25.47
"2013-06-12",1612.52002,1547.319946,19.76,111.389999,35.619999,49.900002,35.389999,436.426422,35,61.741428,23.77,35.22,25.13
"2013-06-13",1636.359985,1568.579956,19.875,110.889999,36.299999,50.639999,35.93,438.938934,34.720001,62.279999,23.73,35.74,26.37
"2013-06-14",1626.72998,1556.849976,19.870001,116.610001,35.91,51.07,36.040001,437.957947,34.400002,61.435715,23.629999,36.04,26.28
"2013-06-17",1639.040039,1576.449951,20.040001,117.720001,35.759998,50.709999,35.990002,443.568573,35,61.714287,24.02,36.66,26.54
"2013-06-18",1651.810059,1590.189941,20.195,117.949997,36.169998,51.549999,36.240002,450.760773,34.98,61.681427,24.209999,36.76,26.66
"2013-06-19",1628.930054,1576.869995,20.105,117.800003,35.25,50.049999,35.330002,450.790802,34.59,60.42857,24.309999,36.51,26.24
"2013-06-20",1588.189941,1539.150024,19.455,114.050003,34.349998,48.959999,34.130001,442.812805,33.490002,59.548573,23.9,35.5,25.35
"2013-06-21",1592.430054,1536.380005,19.885,119.68,34.470001,49.52,34.18,440.905914,33.27,59.07143,24.530001,34.82,25.19
"2013-06-24",1573.089966,1512.209961,19.889999,118.440002,34.459999,49.119999,33.990002,435.330322,33.720001,57.505714,23.940001,34.5,24.07
"2013-06-25",1588.030029,1531.52002,20.084999,117.769997,35.029999,50.439999,34.959999,433.533539,33.669998,57.51857,24.25,35.11,24.96
"2013-06-26",1603.26001,1545.310059,20.094999,119,35.330002,50.66,34.849998,437.262268,34.349998,56.867142,24.16,35.76,25.29
"2013-06-27",1613.199951,1557.609985,20.15,123.809998,35.630001,51,35.27,438.973969,34.619999,56.254284,24.66,36.64,25.44
