Symbol,Date,Yahoo
YHOO,8/21/12,15.11
YHOO,8/20/12,15.22
YHOO,8/17/12,15.11
YHOO,8/16/12,15.09
YHOO,8/15/12,14.89
YHOO,8/14/12,14.65
YHOO,8/13/12,14.67
YHOO,8/10/12,14.84
YHOO,8/9/12,14.85
YHOO,8/8/12,14.92
YHOO,8/7/12,14.87
YHOO,8/6/12,14.92
YHOO,8/3/12,14.97
YHOO,8/2/12,14.96
YHOO,8/1/12,15.03
YHOO,7/31/12,14.99
YHOO,7/30/12,14.76
YHOO,7/27/12,14.73
YHOO,7/26/12,15.02
YHOO,7/25/12,15.15
YHOO,7/24/12,16.01
YHOO,7/23/12,16.17
YHOO,7/20/12,16.22
YHOO,7/19/12,16.04
YHOO,7/18/12,15.97
YHOO,7/17/12,15.74
YHOO,7/16/12,15.99
YHOO,7/13/12,15.84
YHOO,7/12/12,15.98
YHOO,7/11/12,16.11
YHOO,7/10/12,15.8
YHOO,7/9/12,15.5
YHOO,7/6/12,15.43
YHOO,7/5/12,15.76
YHOO,7/3/12,15.91
YHOO,7/2/12,15.72
YHOO,6/29/12,15.7
YHOO,6/28/12,15.6
YHOO,6/27/12,15.64
YHOO,6/26/12,15.74
YHOO,6/25/12,15.69
YHOO,6/22/12,15.8
YHOO,6/21/12,15.82
YHOO,6/20/12,15.75
YHOO,6/19/12,15.78
YHOO,6/18/12,15.85
YHOO,6/15/12,15.98
YHOO,6/14/12,15.36
YHOO,6/13/12,15.49
YHOO,6/12/12,15.47
YHOO,6/11/12,15.3
YHOO,6/8/12,15.65
YHOO,6/7/12,15.36
YHOO,6/6/12,15.36
YHOO,6/5/12,15.1
YHOO,6/4/12,15.01
YHOO,6/1/12,14.92
YHOO,5/31/12,15.24
YHOO,5/30/12,15.25
YHOO,5/29/12,15.47
YHOO,5/25/12,15.36
YHOO,5/24/12,15.35
YHOO,5/23/12,15.38
YHOO,5/22/12,15.29
YHOO,5/21/12,15.58
YHOO,5/18/12,15.42
